"ID","Runde","Dato","Tid","Hjemmehold","Udehold","Hjemmeholdsmål","Udeholdsmål","Tilskuere","Ugedag","Superliga/1.Division","Form","Ferieuger","Modstander Type","Dagtype","Tid på dagen","Populær kanal","Temperatur","Vindhastighed","Fugtighed","Synlighed","Nedbør sidste time","Fugtighed den sidste time","Helligd.","indbyggertal"
2,1,"2007-07-18",18:00:00,"Randers FC","Viborg FF","2","0",5851,"Ons",1,0,1,2,0,1,1,20.3,9.3,61,30000,0,60,0,90518
6,2,"2007-07-22",14:00:00,"Viborg FF","Esbjerg fB","0","5",3164,"Søn",1,0,1,2,2,0,1,18,1,76,20000,0,77,0,90518
12,3,"2007-07-28",17:00:00,"FC København","Viborg FF","3","1",12337,"Lør",1,0,1,2,1,1,1,18.7,9.8,53,30000,0,60,0,90518
21,4,"2007-08-05",16:00:00,"FC Midtjylland","Viborg FF","1","0",7688,"Søn",1,0,0,2,2,1,0,25.6,5.1,51,25000,0,52,0,90518
30,5,"2007-08-13",19:00:00,"Viborg FF","Brøndby IF","1","1",6984,"Man",1,0,0,0,0,2,1,18.3,5.1,75,12000,0.2,74,0,90518
33,6,"2007-08-19",16:00:00,"Viborg FF","AC Horsens","2","1",4259,"Søn",1,0,0,2,2,1,0,21.1,4.1,51,30000,0,51,0,90518
40,7,"2007-08-26",16:00:00,"FC Nordsjælland","Viborg FF","4","0",3114,"Søn",1,1,0,2,2,1,0,16.5,10.3,57,25000,0,61,0,90518
43,8,"2007-09-01",17:00:00,"Viborg FF","AGF","2","0",4563,"Lør",1,1,0,1,1,1,1,15.9,5.1,68,20000,0,72,0,90518
51,9,"2007-09-16",16:00:00,"Viborg FF","Lyngby BK","2","1",4438,"Søn",1,1,0,2,2,1,0,17,8.8,71,10000,0,71,0,90518
60,10,"2007-09-24",19:00:00,"Odense Boldklub","Viborg FF","4","0",7348,"Man",1,1,0,2,0,2,1,19.7,5.7,68,25000,0,67,0,90518
62,11,"2007-09-30",14:00:00,"Aalborg BK","Viborg FF","3","2",7001,"Søn",1,1,0,2,2,0,1,13.4,5.1,84,20000,0,85,0,90518
67,12,"2007-10-06",17:00:00,"Viborg FF","Brøndby IF","1","2",6655,"Lør",1,1,0,0,1,1,1,13.7,0.5,68,30000,0,72,0,90518
76,13,"2007-10-21",16:00:00,"Lyngby BK","Viborg FF","2","0",1846,"Søn",1,1,1,2,2,1,0,10,1.5,62,20000,0,65,0,90518
80,14,"2007-10-28",14:00:00,"FC Midtjylland","Viborg FF","2","1",9750,"Søn",1,0,0,2,2,0,1,9.2,7.2,92,1600,0.2,91,0,90518
90,15,"2007-11-05",19:00:00,"Viborg FF","Odense Boldklub","0","2",3059,"Man",1,0,0,2,0,2,1,9.2,4.6,76,20000,0,76,0,90518
96,16,"2007-11-12",19:00:00,"Viborg FF","AGF","0","2",4610,"Man",1,0,0,1,0,2,1,5.4,6.2,69,25000,0,68,0,90518
100,17,"2007-11-25",16:00:00,"AC Horsens","Viborg FF","1","1",2881,"Søn",1,0,0,2,2,1,0,6,11.8,67,10000,0,71,0,90518
103,18,"2007-12-01",17:00:00,"Randers FC","Viborg FF","0","2",3865,"Lør",1,0,0,2,1,1,1,7.2,9.3,87,8000,0.2,84,0,90518
112,19,"2008-03-16",16:00:00,"Viborg FF","Esbjerg fB","0","4",4472,"Søn",1,1,0,2,2,1,0,5,2.1,79,3000,0,81,1,92084
118,20,"2008-03-20",16:00:00,"Viborg FF","FC Nordsjælland","2","3",2952,"Tor",1,1,0,2,0,1,0,4.5,4.1,63,3000,0,60,1,92084
123,21,"2008-03-23",16:00:00,"Aalborg BK","Viborg FF","2","0",4729,"Søn",1,1,0,2,2,1,0,-1.1,7.2,81,3000,0,81,1,92084
123,21,"2008-03-23",16:00:00,"Aalborg BK","Viborg FF","2","0",4729,"Søn",1,1,0,2,2,1,0,-1.1,7.2,81,3000,0,81,1,92084
131,22,"2008-03-31",19:00:00,"Viborg FF","FC København","2","3",5314,"Man",1,1,0,0,0,2,1,8.6,1,85,3000,0.2,86,0,92084
138,23,"2008-04-07",19:00:00,"AGF","Viborg FF","0","0",14077,"Man",1,0,0,2,0,2,1,6.7,2.6,53,3000,0,55,0,92266
144,24,"2008-04-14",19:00:00,"Viborg FF","AC Horsens","1","3",3671,"Man",1,0,0,2,0,2,1,8.5,3.1,59,3000,0,61,0,92266
